CRS;REGIAO_SAU;MUNICIPIO;TOTAL_DOSES_LIBERADAS;TRAB_SAUDE_70;TRAB_SAUDE_70_VAC;a;INDIGENAS;INDIGENAS_VAC;MAIOR_60;MAIOR_60_VAC;META_1a_FASE;TOTAL_VAC;TOTAL_VAC_ESUS
9º CRS;BAIXO AMAZONAS;PRAINHA;492;207;342;165,22;0;0;0;0;207;342;306
3º CRS;METROPOLITANA III;MARACANA;224;224;350;156,25;0;0;0;0;224;350;74
9º CRS;BAIXO AMAZONAS;TERRA SANTA;434;193;215;111,40;0;0;0;0;193;215;176
7º CRS;MARAJO I;SANTA CRUZ DO ARARI;84;84;93;110,71;0;0;0;0;84;93;40
3º CRS;METROPOLITANA III;TERRA ALTA;89;89;98;110,11;0;0;0;0;89;98;42
10º CRS;XINGU;MEDICILANDIA;189;189;202;106,88;0;0;7;0;196;202;197
4º CRS;RIO CAETES;NOVA TIMBOTEUA;146;146;154;105,48;0;0;0;0;146;154;55
3º CRS;METROPOLITANA III;SAO JOAO DA PONTA;56;56;59;105,36;0;0;0;0;56;59;32
11º CRS;CARAJÁS;PALESTINA DO PARA;78;78;82;105,13;0;0;0;0;78;82;67
3º CRS;METROPOLITANA III;SAO FRANCISCO DO PARA;184;184;192;104,35;0;0;0;0;184;192;131
7º CRS;MARAJO I;SOURE;145;145;151;104,14;0;0;0;0;145;151;138
8º CRS;MARAJO II;BAGRE;187;187;194;103,74;0;0;0;0;187;194;183
8º CRS;MARAJO II;ANAJAS;164;164;170;103,66;0;0;0;0;164;170;185
3º CRS;METROPOLITANA III;SAO DOMINGOS DO CAPIM;237;237;242;102,11;0;0;0;0;237;242;235
3º CRS;METROPOLITANA III;MARAPANIM;383;383;390;101,83;0;0;0;0;383;390;313
3º CRS;METROPOLITANA III;CURUCA;329;329;335;101,82;0;0;0;0;329;335;292
3º CRS;METROPOLITANA III;CASTANHAL;2481;2481;2526;101,81;0;0;38;0;2519;2526;604
13º CRS;TOCANTINS;OEIRAS DO PARA;246;246;247;100,41;0;0;0;0;246;247;9
11º CRS;CARAJÁS;ELDORADO DOS CARAJAS;193;193;193;100,00;0;0;0;0;193;193;163
3º CRS;METROPOLITANA III;MAGALHAES BARATA;70;70;70;100,00;0;0;0;0;70;70;54
7º CRS;MARAJO I;SALVATERRA;117;117;116;99,15;0;0;0;0;117;116;9
1º CRS;METROPOLITANA I;SANTA BARBARA DO PARA;195;195;193;98,97;0;0;0;0;195;193;145
8º CRS;MARAJO II;PORTEL;297;297;292;98,32;0;0;0;0;297;292;238
11º CRS;CARAJÁS;RONDON DO PARA;371;371;364;98,11;0;0;0;0;371;364;310
9º CRS;BAIXO AMAZONAS;FARO;245;153;149;97,39;0;0;0;0;153;149;117
11º CRS;CARAJÁS;ABEL FIGUEIREDO;86;86;83;96,51;0;0;0;0;86;83;62
2º CRS;METROPOLITANA II;CONCORDIA DO PARA;220;220;211;95,91;0;0;0;0;220;211;159
7º CRS;MARAJO I;MUANA;192;192;184;95,83;0;0;0;0;192;184;117
